150,서울역(1),내부,승강기)엘리베이터 내부#1,B2-B1,섬식(상) 5-1,시청역방향 열차 5-1 플렛폼,사용가능
151,시청(1),내부,승강기)엘리베이터 내부#1,B2-B1,상행 3-2,종각역방향 열차 3-2플렛폼,사용가능
151,시청(1),내부,승강기)엘리베이터 내부#2,B2-B1,하행 8-3,서울역방향 열차 8-3플렛폼,사용가능
152,종각,내부,승강기)엘리베이터 내부#1,B2-B1,상행 6-4,종로 3가역 방향 열차 6-4번 플렛폼 ,사용가능
152,종각,내부,승강기)엘리베이터 내부#2,B2-B1,하행 4-4,종로 3가역 방향 열차 4-4번 플렛폼 ,사용가능
153,종로3가(1),내부,승강기)엘리베이터 내부#1,B2-B1,상행 4-4,종각역 방향 열차 4-4번 플렛폼,점검중
153,종로3가(1),내부,승강기)엘리베이터 내부#2,B2-B1,하행 6-4,종로 5가역 방향 열차 6-4번 플렛폼,점검중
154,종로5가,내부,승강기)엘리베이터 내부#1,B2-B1,상행 8-3,종로 3가역 방향 열차 8-3번 플렛폼,점검중
154,종로5가,내부,승강기)엘리베이터 내부#2,B2-B1,하행 3-2,동대문역 방향 열차 3-2번 플렛폼,점검중
155,동대문(1),내부,승강기)엘리베이터 내부#1,B2-B1,상행 10-4,동묘앞역 방향 열차 10-4번 플렛폼,사용가능
155,동대문(1),내부,승강기)엘리베이터 내부#2,B2-B1,하행 2-1,종로 5가역 방향 열차 2-1번 플렛폼,사용가능
156,신설동(1),내부,승강기)엘리베이터 내부#1,B2-B1,상행 3-4,제기동역 방향 열차 3-4번 플렛폼,사용가능
156,신설동(1),내부,승강기)엘리베이터 내부#2,B2-B1,하행 8-1,동묘앞역 방향 열차 8-1번 플렛폼,사용가능
157,제기동,내부,승강기)엘리베이터 내부#1,B2-B1,상행 9-4,청량리역 방향 열차 9-4번 플렛폼,사용가능
157,제기동,내부,승강기)엘리베이터 내부#2,B2-B1,하행 2-1,신설동역 방향 열차 2-1번 플렛폼,사용가능
159,동묘앞(1),내부,승강기)엘리베이터 내부#1,B1-4F,본관 건물,본관 건물,사용가능
159,동묘앞(1),내부,승강기)엘리베이터 내부#2,B2-BM2-B1,상행 10-3,신설동역 방향 열차 10-3번 플렛폼,사용가능
159,동묘앞(1),내부,승강기)엘리베이터 내부#3,B2-B1,상행 4-8,신설동역 방향 열차 4-8번 플렛폼,사용가능
159,동묘앞(1),내부,승강기)엘리베이터 내부#4,B2-B1,하행 7-3,동대문역 방향 열차 7-3번 플렛폼,보수중
159,동묘앞(1),내부,승강기)엘리베이터 내부#5,B2-B1,하행 1-2,동대문역 방향 열차 1-2번 플렛폼,보수중
201,시청(2),내부,승강기)엘리베이터 내부#1,B3-B2-B1,승강장,종각역 방향 열차 3-2번 플렛폼,사용가능
201,시청(2),내부,승강기)엘리베이터 내부#1,B3-B2-B1,승강장,서울역 방향 열차 8-3번 플렛폼,사용가능
202,을지로입구,내부,승강기)엘리베이터 내부#1,B2-B1,외선 5-3,시청역 방향 플렛폼 5-3번 플렛폼,사용가능
202,을지로입구,내부,승강기)엘리베이터 내부#2,B2-B1,내선 6-2,을지로 3가역 방향 열차 6-2번 플렛폼,사용가능
203,을지로3가(2),내부,승강기)엘리베이터 내부#1,B2-B1,외선 8-3,을지로 4가역 방향 열차 8-3번 플렛폼,사용가능
203,을지로3가(2),내부,승강기)엘리베이터 내부#2,B2-B1,내선 3-2,을지로입구역 방향 열차 3-2번 플렛폼,사용가능
204,을지로4가(2),내부,승강기)엘리베이터 내부#1,B2-B1,외선 3-2,을지로 3가역 방향 열차 3-2번 플렛폼,사용가능
204,을지로4가(2),내부,승강기)엘리베이터 내부#2,B2-B1,내선 8-3,동대문역사문화공원역 방향 8-4번 플렛폼,사용가능
205,동대문역사문화공원(2),내부,승강기)엘리베이터 내부#1,B2-B1,외선 8-3,을지로 4가역 방향 열차 8-3번 플렛폼,사용가능
205,동대문역사문화공원(2),내부,승강기)엘리베이터 내부#2,B2-B1,내선 3-2,을지로 3가역 방향 열차 3-2번 플렛폼,사용가능
206,신당(2),내부,승강기)엘리베이터 내부#1,B2-B1,외선 3-4,상왕십리역 방향 열차 3-2번 플렛폼,사용가능
206,신당(2),내부,승강기)엘리베이터 내부#2,B2-B1,내선 7-4,동대문역사문화공원역 방향 7-4번 플렛폼,사용가능
207,상왕십리,내부,승강기)엘리베이터 내부#1,B2-B1,외선 8-1,신당역 방향 열차 7-4번 플렛폼,사용가능
207,상왕십리,내부,승강기)엘리베이터 내부#2,B2-B1,내선 3-4,왕십리역 방향 열차 4-1번 플렛폼,사용가능
208,왕십리(2),내부,승강기)엘리베이터 내부#1,B3-B2,외선 3-2,상왕십리역 방향 열차 3-2번 플렛폼,사용가능
208,왕십리(2),내부,승강기)엘리베이터 내부#2,B3-B2,내선 3-4,한양대역 방향 열차 3-4번 플렛폼,사용가능
209,한양대,내부,승강기)엘리베이터 내부#1,F1-F2,승강장,왕십리역 방향 열차 3-1번 플렛폼,사용가능
210,뚝섬,내부,승강기)엘리베이터 내부#1,F2-F3,외선 7-1,한양대역 방향 열차 7-1번 플렛폼,사용가능
210,뚝섬,내부,승강기)엘리베이터 내부#2,F2-F3,내선 7-1,성수역 방향 열차 7-1번 플렛폼,사용가능
211,성수,내부,승강기)엘리베이터 내부#1,F2-F3,외선 7-1,뚝섬역 방향 열차 7-1번 플렛폼,사용가능
211,성수,내부,승강기)엘리베이터 내부#2,F2-F3,내선 4-4,건대입구역 방향 열차 4-4번 플렛폼,사용가능
