서울역,,126.9731302,37.55630462,150
서울역,1번 출구,126.971633,37.55495175,150
서울역,10번 출구,126.9736943,37.55421646,150
서울역,9-1번 출구,126.9727943,37.55500809,150
서울역,2번 출구,126.9720666,37.55632726,150
서울역,?번 출구,126.9716813,37.55639582,150
서울역,5번 출구,126.9731206,37.55729535,150
서울역,12번 출구,126.9727655,37.55270122,150
시청,5번 출구,126.9774004,37.56613819,151
시청,9번 출구,126.9741728,37.56292672,151
시청,9번 출구,126.9740967,37.56295826,151
종각,3번출구,126.984043,37.57038416,152
종각,"1번, 2번 출구 사이",126.9826885,37.57049982,152
종각,9번 출구,126.9843253,37.5700532,152
종로3가,8번 출구,126.9918343,37.57249122,153
종로3가,7번 출구,126.9918505,37.57266989,153
종로3가,5번 출구,126.9888528,37.57245082,153
종로3가,8번 출구,126.9918978,37.57254045,153
종로3가,6번 출구,126.9910404,37.57265571,153
종로3가,3번 출구,126.9910818,37.57252628,153
종로3가,9번 출구,126.9921523,37.57106844,153
종로3가,2번 출구,126.9918655,37.57057421,153
종로5가,11번 출구,127.0006246,37.57083444,154
종로5가,12번 출구,127.0000807,37.57103575,154
신설동,6번 출구,127.0238411,37.57549769,156
동묘앞,7번 출구,127.015201,37.57276317,159
동묘앞,5번 출구,127.0158727,37.57169713,159
동묘앞,9번 출구,127.0155059,37.57323457,159
동묘앞,1번 출구,127.0161959,37.57330084,159
동묘앞,4번출구 번 출구,127.0160234,37.57300794,159
까치산,2번 출구,126.8468185,37.53189006,200
까치산,3번 출구,126.8465529,37.531781,200
을지로입구,"1번, 2번 사이",126.9821938,37.56633906,202
을지로입구,"5번, 6번 사이 출구",126.983019,37.56589978,202
을지로4가,10번 출구,126.9975341,37.56648938,204
을지로4가,"7번, 8번 사이",126.9984607,37.56642506,204
신당,9번 출구,127.0158765,37.56544815,206
신당,11번 출구,127.0163239,37.56699628,206
신당,2번 출구,127.0203448,37.56581271,206
왕십리,4번 출구,127.0369558,37.56147148,208
한양대,2번 근처번 출구,127.0432635,37.55577019,209
건대입구,1번 출구,127.0687011,37.54074647,212
건대입구,3번 출구,127.0713768,37.54087318,212
삼성,8번 출구,127.0637521,37.50934607,219
삼성,6번 출구,127.062488,37.50930098,219
삼성,4번 출구,127.0625812,37.50836331,219
삼성,1번 출구,127.0640639,37.50880192,219
선릉,5번 6번 사이,127.0482429,37.50453851,220
선릉,9번 10번 사이,127.0496048,37.50493157,220
선릉,1번 출구,127.0497711,37.50446921,220
역삼,4번 출구,127.0353974,37.50067882,221
역삼,3번 출구,127.0356643,37.50010889,221
역삼,2번 출구,127.0366528,37.50049774,221
강남,8번 출구,127.0271306,37.49757948,222
강남,6번 출구,127.0281673,37.49615574,222
강남,1번 출구,127.0287597,37.49806863,222
강남,11번 출구,127.0274875,37.4988356,222
서초,3번 4번 사이,127.0074716,37.49157492,224
사당,9번 10번 사이,126.9814703,37.47803478,226
사당,6번 출구,126.9810854,37.47617303,226
사당,13번 14번 사이,126.9822109,37.47695193,226
사당,14번 출구,126.9824397,37.47674363,226
낙성대,6번 출구,126.9633512,37.47736629,227
서울대입구,2번 출구,126.9528567,37.48081612,228
서울대입구,6번 출구,126.9527138,37.4817234,228
봉천,4번 출구,126.941114,37.48283944,229
신림,7번 출구,126.9299236,37.48486674,230
신림,4번 출구,126.9292296,37.48403712,230
신림,1번 2번 사이,126.9300709,37.48408252,230
신림,1번 출구,126.9302226,37.4841426,230
신림,5번 6번 사이,126.9293526,37.48447067,230
신대방,1번 출구,126.9133243,37.48711939,231
구로디지털단지,1번 출구,126.9022479,37.48499864,232
구로디지털단지,2번 3번 사이,126.9007429,37.48511639,232
합정,5번 출구,126.9143034,37.54951918,238
합정,6번 출구,126.913983,37.54899259,238
홍대입구,8?번 출구,126.9241862,37.55691591,239
홍대입구,8번 출구,126.9238583,37.55669466,239
홍대입구,?번 출구,126.9271724,37.55730168,239
홍대입구,9번 출구,126.9229894,37.55602642,239
신촌,2번 출구,126.9426431,37.56012819,240
신촌,1번 출구,126.9426662,37.55952154,240
신촌,6번 출구,126.9373552,37.55496618,240
이대,6번 출구,126.9457412,37.55654771,241
아현,1번 출구,126.9558632,37.55757398,242
아현,3번 출구,126.9562842,37.55713786,242
충정로,5번 출구,126.9638783,37.55903123,243
충정로,8번 출구,126.9629679,37.56072087,243
양천구청,1번 출구,126.8660072,37.51253878,248
신정네거리,1번 2번 사이 출구,126.8526854,37.52023308,249
구파발,1번 출구,126.9189921,37.637027,310
불광,8번 출구,126.9295888,37.61117376,312
녹번,1번 출구,126.9358422,37.60123832,313
녹번,3번 출구,126.9356886,37.60060061,313
무악재,1번 출구,126.9504538,37.58251451,315
경복궁,4번 출구,126.9741337,37.57596568,317
을지로3가,10번 출구,126.9924108,37.56624543,320
동대입구,6번 출구,127.0053516,37.55885564,322
약수,3번 출구,127.0109178,37.55486271,323
금호,3번 출구,127.0156907,37.54797998,324
압구정,3번 출구,127.0289105,37.52589266,326
압구정,2번 출구,127.0286861,37.52701995,326
신사,8번 출구,127.0203265,37.51669255,327
신사,1번 출구,127.0207085,37.51634005,327
잠원,1번 출구,127.0116906,37.51287478,328
잠원,1?번 출구,127.0118822,37.51293643,328
교대,5번 12번 사이,127.0140577,37.49356616,330
교대,13번 출구,127.0141701,37.49202076,330
남부터미널,5번 출구,127.0162734,37.48474962,331
양재,10번 출구,127.0349088,37.48333239,332
매봉,1번 출구,127.045878,37.48675464,333
매봉,1번 2번 사이,127.0459986,37.4868737,333
도곡,3번 출구,127.0556824,37.49072841,334
