150,서울역(1),내부,승강기)휠체어리프트 내부1,B2-B1,내부 C 계단,사용가능
156,신설동(1),내부,승강기)휠체어리프트 내부1,B2-B1,(B2)상선승강장 시점측,점검중
156,신설동(1),내부,승강기)휠체어리프트 내부2,B2-B1,(B2)하선승강장 시점측,점검중
156,신설동(1),내부,승강기)휠체어리프트 내부3,B2-B1,(B1)대합실 연결통로,점검중
156,신설동(1),내부,승강기)휠체어리프트 내부4,B2-B1,(B1)대합실 연결통로,점검중
158,청량리(1),내부,승강기)휠체어리프트 내부1,B2-B1,(B2)제기동측 승강장,사용가능
158,청량리(1),내부,승강기)휠체어리프트 내부2,B2-B1,(B2)섬식(상)8-2,사용가능
209,한양대,내부,승강기)휠체어리프트 내부1,F1-F2,(F1)섬식(외) 8-2,사용가능
216,잠실(2),내부,승강기)휠체어리프트 내부1,B1-B1,상가측 연결계단,사용가능
219,삼성,내부,승강기)휠체어리프트 내부1,B1-B1,코엑스측 연결계단,사용가능
244,용답,내부,승강기)휠체어리프트 내부1,F1-F2,(F1)성수측 승강장,사용가능
244,용답,내부,승강기)휠체어리프트 내부2,F1-F2,(F1)섬식(상) 1-4,사용가능
246,신설동(2),내부,승강기)휠체어리프트 내부1,B2-B1,(B2)외선승강장 시점측(상선),사용가능
246,신설동(2),내부,승강기)휠체어리프트 내부2,B2-B1,(B2)내선승강장 시점측(하선),사용가능
246,신설동(2),내부,승강기)휠체어리프트 내부3,B2-B1,(B2)용두방향 승강장,사용가능
246,신설동(2),내부,승강기)휠체어리프트 내부4,B2-B1,(B1)환승통로 2호선측,사용가능
246,신설동(2),내부,승강기)휠체어리프트 내부5,B2-B1,(B1)환승통로 1호선측,사용가능
249,신정네거리,내부,승강기)휠체어리프트 내부1,B2-B3,2번 출구,사용가능
329,고속터미널(3),내부,승강기)휠체어리프트 내부1,B2-B1,B2층 대합실 중앙,사용가능
330,교대(3),내부,승강기)휠체어리프트 내부1,B1-B1,B1층 2/3호선 연결 계단,사용가능
410,상계,내부,승강기)휠체어리프트 내부1,F2-F3,연결통로,사용가능
410,상계,내부,승강기)휠체어리프트 내부2,F2-F3,12번 출구,사용가능
412,창동(4),내부,승강기)휠체어리프트 내부3,F2-F3,(F2)2번 출구 1호선 연결통로,사용가능
412,창동(4),내부,승강기)휠체어리프트 내부4,F1-F3,(F1)1호선 상선측 승강장,사용가능
412,창동(4),내부,승강기)휠체어리프트 내부5,F1-F3,(F1)1호선 하선측 승강장,사용가능
412,창동(4),내부,승강기)휠체어리프트 내부6,F2-F3,(F2)1번출구 1호선 연결통로,사용가능
421,동대문(4),내부,승강기)휠체어리프트 내부1,1/4호선(환승통로),10번 출구,사용가능
423,충무로(4),내부,승강기)휠체어리프트 내부1,B3-B2,승강장,사용가능
433,사당(4),내부,승강기)휠체어리프트 내부1,B1-M,(B1)2/4호선대합실연결통로,사용가능
2519,까치산(5),내부,승강기)휠체어리프트 1,B4-B5,내부,사용가능
2519,까치산(5),내부,승강기)휠체어리프트 2,B4-B5,내부,사용가능
2524,영등포구청(5),내부,승강기)휠체어리프트 2,B4-B5,내부,사용가능
2524,영등포구청(5),내부,승강기)휠체어리프트 3,B2-B4,내부,사용가능
2526,신길(5),내부,승강기)휠체어리프트 1,B3-B4,내부,공사중
2526,신길(5),내부,승강기)휠체어리프트 3,B1-B3,내부,공사중
2534,광화문,내부,승강기)휠체어리프트 2,B3-B4,내부,사용가능
2534,광화문,내부,승강기)휠체어리프트 3,B2-B3,내부,사용가능
2535,종로3가(5),내부,승강기)휠체어리프트 1,B4-B5,내부,보수중
2537,동대문역사문화공원(5),내부,승강기)휠체어리프트 1,B4-B5,내부,사용가능
2543,답십리,내부,승강기)휠체어리프트 1,B1-B1,내부,사용가능
2544,장한평,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2547,광나루,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2549,강동,내부,승강기)휠체어리프트 1,B3-B4,내부,보수중
2549,강동,내부,승강기)휠체어리프트 2,B1-B3,내부,사용가능
2554,상일동,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2554,상일동,내부,승강기)휠체어리프트 2,B1-B2,내부,사용가능
2561,마천,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2561,마천,내부,승강기)휠체어리프트 2,B1-B2,내부,사용가능
2613,불광(6),내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2613,불광(6),내부,승강기)휠체어리프트 2,B1-B2,내부,사용가능
2616,구산,내부,승강기)휠체어리프트 1,B2-B3,내부,사용가능
2617,새절,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2619,디지털미디어시티(6),내부,승강기)휠체어리프트 1,B2-B3,내부,사용가능
2619,디지털미디어시티(6),내부,승강기)휠체어리프트 2,B3-B2,내부,사용가능
2621,마포구청,내부,승강기)휠체어리프트 1,B2-B3,내부,사용가능
2621,마포구청,내부,승강기)휠체어리프트 2,B2-B3,내부,사용가능
2621,마포구청,내부,승강기)휠체어리프트 3,B1-B2,내부,사용가능
2623,합정(6),내부,승강기)휠체어리프트 1,B2-B3,내부,사용가능
2624,상수,내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2625,광흥창,내부,승강기)휠체어리프트 1,B2-B3,내부,사용가능
2627,공덕(6),내부,승강기)휠체어리프트 1,B1-B2,내부,사용가능
2629,삼각지(6),내부,승강기)휠체어리프트 1,B1-B4,내부,사용가능
2629,삼각지(6),내부,승강기)휠체어리프트 3,F1-B1,내부,사용가능
