,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역 (왼쪽),다음역 (오른쪽),lon,lat,안전하차
2-을지로입구,을지로입구,2,202,1,1,0,1,9.3,0,2-을지로 3가,2-시청,126.9826,37.566,1-4 | 4-4 | 7-1 | 10-1
2-을지로4가,을지로4가,2,204,1,1,0,1,10.5,0,2-동대문역사문화공원,2-을지로 3가,126.9981,37.56661,1-4 | 4-4 | 7-1 | 10-1
2-신당,신당,2,206,1,1,0,1,7.7,0,2-상왕십리,2-동대문역사문화공원,127.0195,37.56568,1-4 | 4-4 | 7-1 | 10-1
2-상왕십리,상왕십리,2,207,1,1,0,1,9.5,1,2-왕십리,2-신당,127.0289,37.5645,1-4 | 4-4 | 7-1 | 10-1
2-왕십리,왕십리,2,208,1,1,0,1,5.6,0,2-한양대,2-상왕십리,127.0355,37.56116,1-4 | 4-4 | 7-1 | 10-1
2-한양대,한양대,2,209,1,1,1,1,8,1,2-뚝섬,2-왕십리,127.0435,37.55658,1-4 | 4-4 | 7-1 | 10-1
2-뚝섬,뚝섬,2,210,1,1,0,1,7.5,1,2-성수,2-한양대,127.0474,37.54718,1-4 | 4-4 | 7-1 | 10-1
2-성수,성수,2,211,1,1,0,1,5.6,1,2-건대입구,2-뚝섬,127.056,37.54463,1-4 | 4-1
2-건대입구,건대입구,2,212,1,1,0,1,9,1,2-구의,2-성수,127.0692,37.54041,1-4 | 4-4 | 7-1 | 10-1
2-구의,구의,2,213,1,1,0,1,8.2,0,2-강변,2-건대입구,127.085,37.53686,1-4 | 4-4 | 7-1 | 10-1
2-강변,강변,2,214,1,1,0,1,7,0,2-잠실나루,2-구의,127.0947,37.53516,1-4 | 4-4 | 7-1 | 10-1
2-잠실나루,잠실나루,2,215,1,1,0,1,7.2,0,2-잠실,2-강변,127.1038,37.52069,1-4 | 4-4 | 7-1 | 10-1
2-잠실새내,잠실새내,2,217,1,1,0,1,10.9,0,2-종합운동장,2-잠실,127.1037,37.52073,1-4 | 4-4 | 7-1 | 10-1
2-종합운동장,종합운동장,2,218,1,1,0,1,10.6,1,2-삼성,2-잠실새내,127.0736,37.51101,1-4 | 4-4 | 7-1 | 10-1
2-삼성,삼성,2,219,1,1,1,1,8.7,0,2-선릉,2-종합운동장,127.0632,37.50883,1-4 | 4-4 | 7-1 | 10-1
2-선릉,선릉,2,220,1,1,0,1,8.6,1,2-역삼,2-삼성,127.0482,37.50426,1-4 | 4-4 | 7-1 | 10-1
2-역삼,역삼,2,221,1,1,0,1,9.8,0,2-강남,2-선릉,127.0364,37.50066,1-4 | 4-4 | 7-1 | 10-1
2-강남,강남,2,222,1,1,0,1,8,0,2-교대,2-역삼,127.0275,37.49796,1-4 | 4-4 | 7-1 | 10-1
2-서초,서초,2,224,1,1,0,1,9.1,1,2-방배,2-교대,127.0079,37.49191,1-4 | 4-4 | 7-1 | 10-1
2-방배,방배,2,225,1,1,0,1,7.5,0,2-사당,2-서초,126.9976,37.48147,1-4 | 4-4 | 7-1 | 10-1
2-사당,사당,2,226,1,1,0,1,8.5,1,2-낙성대,2-방배,126.9816,37.47654,1-4 | 4-4 | 7-1 | 10-1
2-낙성대,낙성대,2,227,1,1,0,1,8.6,0,2-서울대입구,2-사당,126.9638,37.47693,1-4 | 4-4 | 7-1 | 10-1
2-서울대입구,서울대입구,2,228,1,1,0,1,6.5,0,2-봉천,2-낙성대,126.9527,37.48123,1-4 | 4-4 | 7-1 | 10-1
2-봉천,봉천,2,229,1,1,0,1,7.7,0,2-신림,2-서울대입구,126.9419,37.48242,1-4 | 4-4 | 7-1 | 10-1
2-신림,신림,2,230,1,1,0,1,10.7,0,2-신대방,2-봉천,126.9296,37.48422,1-4 | 4-4 | 7-1 | 10-1
2-신대방,신대방,2,231,1,1,0,1,11.6,0,2-구로디지털단지,2-신림,126.9133,37.48753,1-4 | 4-4 | 7-1 | 10-1
2-구로디지털단지,구로디지털단지,2,232,1,1,0,1,9.1,0,2-대림,2-신대방,126.9026,37.48501,1-4 | 4-4 | 7-1 | 10-1
2-문래,문래,2,235,1,1,0,1,8.6,0,2-영등포구청,2-신도림,126.8948,37.51799,1-4 | 4-4 | 7-1 | 10-1
2-합정,합정,2,238,1,1,0,1,7.6,1,2-홍대입구,2-당산,126.9146,37.55003,1-4 | 4-4 | 7-1 | 10-1
2-홍대입구,홍대입구,2,239,1,1,0,1,6.7,0,2-신촌,2-합정,126.9236,37.55675,1-4 | 4-4 | 7-1 | 10-1
2-신촌,신촌,2,240,1,1,0,1,10.5,0,2-이대,2-홍대입구,126.9369,37.55515,1-4 | 4-4 | 7-1 | 10-1
2-이대,이대,2,241,1,1,0,1,9.7,1,2-아현,2-신촌,126.9459,37.55673,1-4 | 4-4 | 7-1 | 10-1
2-아현,아현,2,242,1,1,0,1,10.5,1,2-충정로,2-이대,126.9561,37.55741,1-4 | 4-4 | 7-1 | 10-1
2-충정로,충정로,2,243,1,1,0,1,11.6,1,2-시청,2-아현,126.9645,37.55974,1-4 | 4-4 | 7-1 | 10-1
2-용답,용답,2,244,0,0,1,1,8.1,0,2-성수,2-신답,126.9779,37.56641,1-4 | 4-1
2-신답,신답,2,245,1,1,0,1,13,0,2-용답,2-용두,127.0563,37.56147,1-4 | 4-1
2-도림천,도림천,2,247,1,1,0,1,8.6,0,2-양천구청,2-신도림,126.8826,37.51476,(신도림방향)3-4 | (까치산방향)4-1
2-양천구청,양천구청,2,248,1,1,0,1,8.5,0,2-신정네거리,2-도림천,126.8652,37.51219,(신도림방향)3-4 | (까치산방향)4-1
2-신정네거리,신정네거리,2,249,1,1,1,1,10,0,2-까치산,2-양천구청,126.8528,37.52022,(신도림방향)3-4 | (까치산방향)4-1
2-용두,용두,2,250,1,1,0,1,10,0,2-신답,2-신설동,127.0381,37.57401,1-4 | 4-1
2-을지로3가,을지로3가,2,320,1,1,0,1,10.5,0,2-을지로 4가 ,2-을지로입구,126.9918,37.56629,1-4 | 4-4 | 7-1 | 10-1
2-교대,교대,2,330,1,1,1,1,8.5,0,2-서초,2-강남,127.0146,37.49396,1-4 | 4-4 | 7-1 | 10-1
2-동대문역사문화공원,동대문역사문화공원,2,422,1,1,0,1,5.9,0,2-신당,2-을지로 4가,127.0091,37.56561,1-4 | 4-4 | 7-1 | 10-1
2-신도림,신도림,2,1007,1,1,0,0,6.7,1,2-문래,2-대림,126.8912,37.50882,1-4 | 4-4 | 7-1 | 10-1
2-영등포구청,영등포구청,2,2524,1,1,1,1,9.4,0,2-당산,2-문래,126.8966,37.52577,1-4 | 4-4 | 7-1 | 10-1
2-대림,대림,2,2746,1,1,1,0,8.2,1,2-신도림,2-구로디지털단지,126.8953,37.49243,1-4 | 4-4 | 7-1 | 10-1
2-잠실,잠실,2,2815,1,1,1,1,8.3,1,2-잠실새내,2-잠실나루,127.1001,37.51331,1-4 | 4-4 | 7-1 | 10-1
2-당산,당산,2,4113,1,1,1,0,8.7,0,2-합정,2-영등포구청,126.902,37.53388,1-4 | 4-4 | 7-1 | 10-1
3-가락시장,가락시장,3,340,1,1,0,1,9,1,3-수서,3-경찰병원,127.1182,37.49252,1-4 | 4-4 | 7-1 | 10-1
3-경찰병원,경찰병원,3,341,1,1,0,1,11.5,0,3-가락시장,3-오금,127.1245,37.49592,1-4 | 4-4 | 7-1 | 10-1
3-오금,오금,3,342,1,1,0,1,9,0,3-경찰병원,-,127.1281,37.50216,1-4 | 4-4 | 7-1 | 10-1
3-원흥,원흥,3,1948,1,1,1,1,-,1,3-원당,3-삼송,126.8726,37.65066,1-4 | 4-4 | 7-1 | 10-1
3-종로3가,종로3가,3,153,1,1,1,1,10.3,1,3-안국,3-을지로 3가,126.5925,37.34212,1-4 | 4-4 | 7-1 | 10-1
3-지축,지축,3,309,0,1,0,1,8.5,0,3-삼송,3-구파발,126.914,37.64805,1-4 | 4-4 | 7-1 | 10-1
3-구파발,구파발,3,310,1,1,0,1,9.3,0,3-지축 ,3-연신내,126.9188,37.63676,1-4 | 4-4 | 7-1 | 10-1
3-불광,불광,3,312,1,1,0,1,11,1,3-연신내,3-녹번,126.9299,37.61047,1-4 | 4-4 | 7-1 | 10-1
3-녹번,녹번,3,313,1,1,0,1,6.9,0,3-불광,3-홍제,126.9358,37.60093,1-4 | 4-4 | 7-1 | 10-1
3-홍제,홍제,3,314,1,1,0,1,11.5,0,3-녹번,3-무악재,126.9437,37.58907,1-4 | 4-4 | 7-1 | 10-1
3-무악재,무악재,3,315,1,1,0,1,9.3,1,3-홍제,3-독립문,126.9503,37.5823,1-4 | 4-4 | 7-1 | 10-1
3-독립문,독립문,3,316,1,1,0,1,11.5,1,3-무악재,3-경복궁,126.9577,37.57457,1-4 | 4-4 | 7-1 | 10-1
3-경복궁,경복궁,3,317,1,1,0,1,13.6,0,3-독립문,3-안국,126.9735,37.57576,1-4 | 4-4 | 7-1 | 10-1
3-안국,안국,3,318,1,1,0,1,10.4,1,3-경복궁,3-종로 3가,126.9854,37.57648,1-4 | 4-4 | 7-1 | 10-1
3-을지로3가,을지로3가,3,320,1,1,0,1,8.9,0,3-종로 3가 ,3-충무로,126.5927,37.33585,1-4 | 4-4 | 7-1 | 10-1
3-동대입구,동대입구,3,322,1,1,0,1,12.5,0,3-충무로,3-약수,127.0056,37.55905,1-4 | 4-4 | 7-1 | 10-1
3-약수,약수,3,323,1,1,0,1,9.6,1,3-동대입구,3-금호,127.0107,37.55434,1-4 | 4-4 | 7-1 | 10-1
3-금호,금호,3,324,1,1,0,1,6.5,0,3-약수,3-옥수,127.0159,37.54803,1-4 | 4-4 | 7-1 | 10-1
3-옥수,옥수,3,325,1,1,0,1,9.9,1,3-금호,3-압구정,127.018,37.54069,1-4 | 4-4 | 7-1 | 10-1
3-압구정,압구정,3,326,1,1,0,1,11.1,0,3-옥수,3-신사,127.0285,37.52707,1-4 | 4-4 | 7-1 | 10-1
3-신사,신사,3,327,1,1,0,1,6,0,3-압구정,3-잠원,127.0201,37.51633,1-4 | 4-4 | 7-1 | 10-1
3-잠원,잠원,3,328,1,1,0,1,9.4,1,3-신사,3-고속터미널,127.0112,37.51276,1-4 | 4-4 | 7-1 | 10-1
3-교대,교대,3,330,1,1,1,1,5.4,0,3-고속터미널,3-남부터미널,127.0049,37.29372,1-4 | 4-4 | 7-1 | 10-1
3-남부터미널,남부터미널,3,331,1,1,0,1,8.6,0,3-교대,3-양재,127.0162,37.48501,1-4 | 4-4 | 7-1 | 10-1
3-양재,양재,3,332,1,1,0,1,7.4,0,3-남부터미널,3-매봉,127.0346,37.48415,1-4 | 4-4 | 7-1 | 10-1
3-매봉,매봉,3,333,1,1,0,1,10.3,0,3-양재,3-도곡,127.0468,37.48695,1-4 | 4-4 | 7-1 | 10-1
3-도곡,도곡,3,334,1,1,0,1,9.3,0,3-매봉,3-대치,127.0554,37.49086,1-4 | 4-4 | 7-1 | 10-1
3-대치,대치,3,335,1,1,0,1,8.4,0,3-도곡,3-학여울,127.0636,37.49461,1-4 | 4-4 | 7-1 | 10-1
3-학여울,학여울,3,336,1,1,0,1,8.4,0,3-대치,3-대청,127.0706,37.49666,1-4 | 4-4 | 7-1 | 10-1
3-대청,대청,3,337,1,1,0,1,10.5,0,3-학여울,3-일원,127.0795,37.49351,1-4 | 4-4 | 7-1 | 10-1
3-일원,일원,3,338,1,1,0,1,7.7,0,3-대청,3-수서,127.0844,37.48368,1-4 | 4-4 | 7-1 | 10-1
3-수서,수서,3,339,1,1,0,1,10.5,1,3-일원,3-가락시장,127.1019,37.48737,1-4 | 4-4 | 7-1 | 10-1
3-충무로,충무로,3,423,1,1,1,1,11.6,1,3-을지로 3가,3-동대입구,126.9943,37.56124,1-4 | 4-4 | 7-1 | 10-1
3-삼송,삼송,3,1950,1,1,1,0,10.2,0,3-원흥,3-지축,126.8956,37.65308,1-4 | 4-4 | 7-1 | 10-1
3-원당,원당,3,1951,1,1,1,1,6.2,0,3-화정,3-원흥,126.843,37.65332,1-4 | 4-4 | 7-1 | 10-1
3-화정,화정,3,1952,1,1,1,1,5.4,0,3-대곡,3-원당,126.8327,37.63459,1-4 | 4-4 | 7-1 | 10-1
3-대곡,대곡,3,1953,1,1,1,1,6.3,0,3-백석,3-화정,126.811,37.63163,1-4 | 4-4 | 7-1 | 10-1
3-백석,백석,3,1954,1,1,1,1,6.4,0,3-마두,3-대곡,126.7879,37.64311,1-4 | 4-4 | 7-1 | 10-1
3-마두,마두,3,1955,1,1,1,1,5.9,0,3-정발산,3-백석,126.7776,37.65221,1-4 | 4-4 | 7-1 | 10-1
3-정발산,정발산,3,1956,1,1,1,1,5,0,3-주엽,3-마두,126.7734,37.65948,1-4 | 4-4 | 7-1 | 10-1
3-주엽,주엽,3,1957,1,1,1,0,5.4,0,3-대화,3-정발산,126.7613,37.67007,1-4 | 4-4 | 7-1 | 10-1
3-대화,대화,3,1958,1,1,1,1,6,0,-,3-주엽,126.7476,37.67609,1-4 | 4-4 | 7-1 | 10-1
3-연신내,연신내,3,2615,1,1,0,1,6.6,1,3-구파발,3-불광,126.921,37.619,1-4 | 4-4 | 7-1 | 10-1
3-고속터미널,고속터미널,3,4123,1,1,0,0,10.4,1,3-잠원,3-교대,127.0049,37.50481,1-4 | 4-4 | 7-1 | 10-1
